timestamp_us,positions,velocities,efforts,motorVelocities,positionCommands,velocityCommands,effortCommands,pwmCommands
1580424332209186,-0.027437   1.34084,0.0118542  -1.34091,0.0544929 -0.439515,      0 -2098.41,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332210196,-0.027468   1.33941,-0.00465718    -1.36909,0.0544558 -0.436162,      0 -2096.56,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332211199,-0.0274675    1.33798,-0.00543243    -1.39778,0.0565445 -0.419187,      0 -2096.56,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332212205,-0.0274914    1.33656,-0.0134469   -1.40961,0.0563419 -0.389882,      0 -2096.56,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332213105,-0.027458   1.33519,0.00262707   -1.39922,0.0631077 -0.392423,      0 -2096.56,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332214197,-0.0274101     1.3337,0.021721 -1.43279,0.0555918 -0.374657,      0 -2096.56,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332215162,-0.0274263    1.33224,0.0110821  -1.45057,0.0570522 -0.352454,      0 -2095.45,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332216171,-0.0274379    1.33081,0.00209127   -1.44597,0.0612717 -0.357432,     0 -2097.3,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332217170,-0.027474   1.32937,-0.0138925   -1.44587,0.0659328 -0.346643,     0 -2097.3,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332218202,-0.027426   1.32787,0.00643527    -1.4666,0.0603402 -0.334125,     0 -2097.3,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332219192,-0.0274171    1.32652,0.00953538    -1.4251,0.0475786 -0.370741,      0 -2095.45,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332220211,-0.0274357    1.32504,0.000133629    -1.44203,0.0508717 -0.337041,      0 -2095.45,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332221170,-0.0274241    1.32353,0.00339154   -1.46619,0.0449304  -0.30232,      0 -2095.45,nan nan,nan nan,nan  -1,-0 -0.802787 
1580424332222187,-0.0274903    1.32218,-0.022757  -1.42639,0.0535259 -0.331542,     0 -2097.3,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332223217,-0.0275103    1.32077,-0.0257809   -1.41718,0.0651056 -0.323044,      0 -2096.27,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332224202,-0.0274495    1.31931,0.00503314   -1.42915,0.0646434 -0.315276,      0 -2096.27,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332225184,-0.0274055    1.31796,0.0239872  -1.39815,0.0604273 -0.358827,      0 -2094.43,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332226179,-0.0274222    1.31655,0.0130655  -1.40027,0.0602093 -0.358765,      0 -2095.45,nan nan,nan nan,nan  -1,-0 -0.802787 
1580424332227173,-0.027412   1.31506,0.0117856  -1.43177,0.0579782 -0.341477,      0 -2095.45,nan nan,nan nan,nan  -1,-0 -0.802787 
